--------------------Experiment_Info------------------------

Datetime: 13-19-52_29-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Frequency and Position
Modulation: ON
Control sequence: <PyQt6.QtWidgets.QLabel object at 0x0000026BEAF6FD90>
Modulation frequency (Hz): 10.0
Start position (mm): 45
End position (mm): 45
Step size (mm): 0
Target voltage (V): 2500
Start mod. freq. (Hz): 10
End mod. freq. (Hz): 50
Step mod. freq. (Hz): 10

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA), freq (Hz), DC (%), ph1 (deg), ph2 (deg), ph3 (deg)
A-D, 3282.81102780, 0.3525,  0.216428, 45.000, 2.5, 2500.0, 2457.8,  42.2,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.81352780, 0.3550,  0.385454, 45.000, 2.5, 2500.0, 2471.4,  28.6,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.81602780, 0.3575,  0.292853, 45.000, 2.5, 2500.0, 2484.9,  15.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.81852780, 0.3600,  0.030084, 45.000, 2.5, 2500.0, 2498.5,   1.5,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.82102780, 0.3625,  0.506103, 45.000, 2.5, 2500.0, 2512.0, -12.0,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.82352780, 0.3650,  0.345537, 45.000, 2.5, 2500.0, 2521.4, -21.4,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.82602780, 0.3675, -0.217935, 45.000, 2.5, 2500.0, 2521.6, -21.6,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.82852780, 0.3700, -0.003381, 45.000, 2.5, 2500.0, 2521.8, -21.8,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.83102780, 0.3725, -0.034407, 45.000, 2.5, 2500.0, 2522.0, -22.0,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.83352780, 0.3750, -0.292086, 45.000, 2.5, 2500.0, 2522.1, -22.1,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.83602780, 0.3775, -0.014670, 45.000, 2.5, 2500.0, 2522.3, -22.3,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
A-D, 3282.83852780, 0.3800,  0.087346, 45.000, 2.5, 2500.0, 2522.5, -22.5,  0.0,  0.0,  0.0,  10, 50,   0, 180,   0
