--------------------Experiment_Info------------------------

Datetime: 13-17-39_04-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Voltage and Position
Modulation: OFF
Control sequence: A-B-C
Start position (mm): 5
End position (mm): 5
Step size (mm): 1
Start voltage (V): 2000
End voltage (V): 3000
Step voltage (V): 500

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
A, 707725.90385240, 0.2925,  1.359141, 5.000, 3.5, 2000.0, 2003.8,  -3.8,  0.0,  0.0,  0.0
A, 707725.90635240, 0.2950,  1.294239, 5.000, 3.5, 2000.0, 2003.7,  -3.7,  0.0,  0.0,  0.0
A, 707725.90885240, 0.2975,  1.294666, 5.000, 3.5, 2000.0, 2003.7,  -3.7,  0.0,  0.0,  0.0
A, 707725.91135240, 0.3000,  1.299502, 5.000, 3.5, 2000.0, 2003.6,  -3.6,  0.0,  0.0,  0.0
A, 707725.91385240, 0.3025,  1.322231, 5.000, 3.5, 2000.0, 2003.5,  -3.5,  0.0,  0.0,  0.0
A, 707725.91635240, 0.3050,  1.401937, 5.000, 3.5, 2000.0, 2003.4,  -3.4,  0.0,  0.0,  0.0
A, 707725.91885240, 0.3075,  1.379443, 5.000, 3.5, 2000.0, 2003.3,  -3.3,  0.0,  0.0,  0.0
A, 707725.92135240, 0.3100,  1.334064, 5.000, 3.5, 2000.0, 2003.1,  -3.1,  0.0,  0.0,  0.0
A, 707725.92385240, 0.3125,  1.280155, 5.000, 3.5, 2000.0, 2003.0,  -3.0,  0.0,  0.0,  0.0
A, 707725.92635240, 0.3150,  1.348648, 5.000, 3.5, 2000.0, 2002.8,  -2.8,  0.0,  0.0,  0.0
A, 707725.92885240, 0.3175,  1.389056, 5.000, 3.5, 2000.0, 2002.6,  -2.6,  0.0,  0.0,  0.0
A, 707725.93135240, 0.3200,  1.338073, 5.000, 3.5, 2000.0, 2002.5,  -2.5,  0.0,  0.0,  0.0
A, 707725.93385240, 0.3225,  1.348256, 5.000, 3.5, 2000.0, 2002.3,  -2.3,  0.0,  0.0,  0.0
A, 707725.93635240, 0.3250,  1.364595, 5.000, 3.5, 2000.0, 2002.1,  -2.1,  0.0,  0.0,  0.0
A, 707725.93885240, 0.3275,  1.376957, 5.000, 3.5, 2000.0, 2002.0,  -2.0,  0.0,  0.0,  0.0
A, 707725.94135240, 0.3300,  1.357685, 5.000, 3.5, 2000.0, 2001.8,  -1.8,  0.0,  0.0,  0.0
A, 707725.94385240, 0.3325,  1.320110, 5.000, 3.5, 2000.0, 2001.7,  -1.7,  0.0,  0.0,  0.0
A, 707725.94635240, 0.3350,  1.293799, 5.000, 3.5, 2000.0, 2001.5,  -1.5,  0.0,  0.0,  0.0
A, 707725.94885240, 0.3375,  1.315870, 5.000, 3.5, 2000.0, 2001.3,  -1.3,  0.0,  0.0,  0.0
A, 707725.95135240, 0.3400,  1.375499, 5.000, 3.5, 2000.0, 2001.2,  -1.2,  0.0,  0.0,  0.0
A, 707725.95385240, 0.3425,  1.499483, 5.000, 3.5, 2000.0, 2001.0,  -1.0,  0.0,  0.0,  0.0
A, 707725.95635240, 0.3450,  1.447946, 5.000, 3.5, 2000.0, 2000.8,  -0.8,  0.0,  0.0,  0.0
A, 707725.95885240, 0.3475,  1.393564, 5.000, 3.5, 2000.0, 2000.7,  -0.7,  0.0,  0.0,  0.0
