--------------------Experiment_Info------------------------

Datetime: 13-22-04_04-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Frequency and Position
Modulation: ON
Control sequence: <PyQt6.QtWidgets.QLabel object at 0x00000203040636B0>
Modulation frequency (Hz): 50.0
Start position (mm): 5
End position (mm): 5
Step size (mm): 1
Target voltage (V): 3000
Start mod. freq. (Hz): 50
End mod. freq. (Hz): 100
Step mod. freq. (Hz): 10

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA), freq (Hz), DC (%), ph1 (deg), ph2 (deg), ph3 (deg)
A-D, 707991.07019390, 0.1500, -0.373998, 5.000, 3.5, 3000.0, 3020.6, -20.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.07269390, 0.1525, -0.168013, 5.000, 3.5, 3000.0, 3011.5, -11.5,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.07519390, 0.1550,  0.117094, 5.000, 3.5, 3000.0, 3002.4,  -2.4,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.07769390, 0.1575,  0.651070, 5.000, 3.5, 3000.0, 2993.3,   6.7,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.08019390, 0.1600,  0.784065, 5.000, 3.5, 3000.0, 2984.6,  15.4,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.08269390, 0.1625,  0.594024, 5.000, 3.5, 3000.0, 2980.1,  19.9,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.08519390, 0.1650,  0.581748, 5.000, 3.5, 3000.0, 2975.7,  24.3,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.08769390, 0.1675,  0.850861, 5.000, 3.5, 3000.0, 2971.2,  28.8,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.09019390, 0.1700,  0.241491, 5.000, 3.5, 3000.0, 2966.7,  33.3,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.09269390, 0.1725, -1.113328, 5.000, 3.5, 3000.0, 2962.3,  37.7,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.09519390, 0.1750,  0.909010, 5.000, 3.5, 3000.0, 2957.8,  42.2,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.09769390, 0.1775,  0.819903, 5.000, 3.5, 3000.0, 2953.4,  46.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.10019390, 0.1800,  0.505941, 5.000, 3.5, 3000.0, 2948.9,  51.1,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.10269390, 0.1825,  0.053643, 5.000, 3.5, 3000.0, 2944.4,  55.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.10519390, 0.1850,  0.039367, 5.000, 3.5, 3000.0, 2940.0,  60.0,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.10769390, 0.1875,  0.353614, 5.000, 3.5, 3000.0, 2935.5,  64.5,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.11019390, 0.1900, -0.155629, 5.000, 3.5, 3000.0, 2931.1,  68.9,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
