--------------------Experiment_Info------------------------

Datetime: 15-58-36_04-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Position
Modulation: OFF
Control sequence: A-B-C
Start position (mm): 5
End position (mm): 5
Step size (mm): 1
Target voltage (V): 3000

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
A, 717382.96119580, 0.1950,  2.843168, 5.000, 3.5, 3000.0, 2996.2,   3.8,  0.0,  0.0,  0.0
A, 717382.96369580, 0.1975,  2.880484, 5.000, 3.5, 3000.0, 2995.9,   4.1,  0.0,  0.0,  0.0
A, 717382.96619580, 0.2000,  2.874424, 5.000, 3.5, 3000.0, 2995.7,   4.3,  0.0,  0.0,  0.0
A, 717382.96869580, 0.2025,  2.840954, 5.000, 3.5, 3000.0, 2995.5,   4.5,  0.0,  0.0,  0.0
A, 717382.97119580, 0.2050,  2.803080, 5.000, 3.5, 3000.0, 2995.2,   4.8,  0.0,  0.0,  0.0
A, 717382.97369580, 0.2075,  2.781239, 5.000, 3.5, 3000.0, 2995.0,   5.0,  0.0,  0.0,  0.0
A, 717382.97619580, 0.2100,  2.773612, 5.000, 3.5, 3000.0, 2995.2,   4.8,  0.0,  0.0,  0.0
A, 717382.97869580, 0.2125,  2.793972, 5.000, 3.5, 3000.0, 2995.4,   4.6,  0.0,  0.0,  0.0
A, 717382.98119580, 0.2150,  2.793972, 5.000, 3.5, 3000.0, 2995.6,   4.4,  0.0,  0.0,  0.0
A, 717382.98369580, 0.2175,  2.793972, 5.000, 3.5, 3000.0, 2995.9,   4.1,  0.0,  0.0,  0.0
A, 717382.98619580, 0.2200,  2.808521, 5.000, 3.5, 3000.0, 2996.1,   3.9,  0.0,  0.0,  0.0
A, 717382.98869580, 0.2225,  2.836162, 5.000, 3.5, 3000.0, 2996.4,   3.6,  0.0,  0.0,  0.0
A, 717382.99119580, 0.2250,  2.839789, 5.000, 3.5, 3000.0, 2996.6,   3.4,  0.0,  0.0,  0.0
A, 717382.99369580, 0.2275,  2.836990, 5.000, 3.5, 3000.0, 2996.8,   3.2,  0.0,  0.0,  0.0
A, 717382.99619580, 0.2300,  2.834191, 5.000, 3.5, 3000.0, 2997.1,   2.9,  0.0,  0.0,  0.0
A, 717382.99869580, 0.2325,  2.831392, 5.000, 3.5, 3000.0, 2997.3,   2.7,  0.0,  0.0,  0.0
A, 717383.00119580, 0.2350,  2.873784, 5.000, 3.5, 3000.0, 2997.5,   2.5,  0.0,  0.0,  0.0
A, 717383.00369580, 0.2375,  2.923167, 5.000, 3.5, 3000.0, 2997.8,   2.2,  0.0,  0.0,  0.0
A, 717383.00619580, 0.2400,  2.959062, 5.000, 3.5, 3000.0, 2998.0,   2.0,  0.0,  0.0,  0.0
A, 717383.00869580, 0.2425,  2.931064, 5.000, 3.5, 3000.0, 2998.2,   1.8,  0.0,  0.0,  0.0
A, 717383.01119580, 0.2450,  2.903066, 5.000, 3.5, 3000.0, 2998.5,   1.5,  0.0,  0.0,  0.0
A, 717383.01369580, 0.2475,  2.854295, 5.000, 3.5, 3000.0, 2998.7,   1.3,  0.0,  0.0,  0.0
A, 717383.01619580, 0.2500,  2.780160, 5.000, 3.5, 3000.0, 2999.0,   1.0,  0.0,  0.0,  0.0
A, 717383.01869580, 0.2525,  2.781822, 5.000, 3.5, 3000.0, 2999.2,   0.8,  0.0,  0.0,  0.0
A, 717383.02119580, 0.2550,  2.815147, 5.000, 3.5, 3000.0, 2999.4,   0.6,  0.0,  0.0,  0.0
A, 717383.02369580, 0.2575,  2.907286, 5.000, 3.5, 3000.0, 2999.7,   0.3,  0.0,  0.0,  0.0
A, 717383.02619580, 0.2600,  2.907286, 5.000, 3.5, 3000.0, 2999.9,   0.1,  0.0,  0.0,  0.0
A, 717383.02869580, 0.2625,  2.914173, 5.000, 3.5, 3000.0, 3000.1,  -0.1,  0.0,  0.0,  0.0
A, 717383.03119580, 0.2650,  2.931642, 5.000, 3.5, 3000.0, 3000.4,  -0.4,  0.0,  0.0,  0.0
A, 717383.03369580, 0.2675,  2.925456, 5.000, 3.5, 3000.0, 3000.6,  -0.6,  0.0,  0.0,  0.0
A, 717383.03619580, 0.2700,  2.906413, 5.000, 3.5, 3000.0, 3000.8,  -0.8,  0.0,  0.0,  0.0
A, 717383.03869580, 0.2725,  2.907030, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.04119580, 0.2750,  2.906107, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.04369580, 0.2775,  2.837713, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.04619580, 0.2800,  2.816396, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.04869580, 0.2825,  2.826086, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.05119580, 0.2850,  2.860136, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.05369580, 0.2875,  2.852956, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.05619580, 0.2900,  2.815331, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.05869580, 0.2925,  2.777706, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.06119580, 0.2950,  2.740081, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.06369580, 0.2975,  2.857735, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.06619580, 0.3000,  2.913449, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.06869580, 0.3025,  2.926925, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.07119580, 0.3050,  2.903473, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.07369580, 0.3075,  2.880611, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.07619580, 0.3100,  2.942627, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.07869580, 0.3125,  2.921342, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.08119580, 0.3150,  2.902621, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.08369580, 0.3175,  2.900351, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.08619580, 0.3200,  2.874990, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.08869580, 0.3225,  2.821421, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.09119580, 0.3250,  2.758857, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.09369580, 0.3275,  2.787168, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.09619580, 0.3300,  2.818202, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.09869580, 0.3325,  2.891970, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.10119580, 0.3350,  2.893215, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.10369580, 0.3375,  2.886566, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.10619580, 0.3400,  2.879917, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.10869580, 0.3425,  2.876460, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.11119580, 0.3450,  2.885757, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.11369580, 0.3475,  2.888380, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.11619580, 0.3500,  2.823987, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.11869580, 0.3525,  2.761885, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.12119580, 0.3550,  2.781768, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.12369580, 0.3575,  2.854867, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.12619580, 0.3600,  2.837049, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.12869580, 0.3625,  2.832602, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.13119580, 0.3650,  2.886443, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.13369580, 0.3675,  2.883003, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
A, 717383.13619580, 0.3700,  2.879563, 5.000, 3.5, 3000.0, 3001.0,  -1.0,  0.0,  0.0,  0.0
