--------------------Experiment_Info------------------------

Datetime: 11-25-47_02-08-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Position
Modulation: OFF
Control sequence: A-B-C
Start position (mm): 0
End position (mm): 1.2
Step size (mm): 5
Target voltage (V): 3000

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
A, 342050.55609680, 0.2825, -6.023765, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.55859680, 0.2850, -6.052883, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.56109680, 0.2875, -6.040712, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.56359680, 0.2900, -6.091373, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.56609680, 0.2925, -6.128900, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.56859680, 0.2950, -6.066106, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.57109680, 0.2975, -6.122096, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.57359680, 0.3000, -6.098996, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.57609680, 0.3025, -6.097793, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.57859680, 0.3050, -6.076422, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.58109680, 0.3075, -6.066851, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.58359680, 0.3100, -6.081099, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.58609680, 0.3125, -6.095348, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.58859680, 0.3150, -6.131883, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.59109680, 0.3175, -6.177788, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.59359680, 0.3200, -6.206961, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.59609680, 0.3225, -6.236134, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.59859680, 0.3250, -6.259504, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.60109680, 0.3275, -6.255199, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.60359680, 0.3300, -6.250894, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.60609680, 0.3325, -6.246589, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.60859680, 0.3350, -6.242284, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.61109680, 0.3375, -6.238829, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.61359680, 0.3400, -6.242151, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.61609680, 0.3425, -6.245473, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.61859680, 0.3450, -6.248795, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.62109680, 0.3475, -6.261978, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.62359680, 0.3500, -6.321471, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.62609680, 0.3525, -6.441835, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.63109680, 0.3575, -6.463270, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.63359680, 0.3600, -6.365514, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.63609680, 0.3625, -6.333910, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.63859680, 0.3650, -6.357287, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
A, 342050.64109680, 0.3675, -6.431510, 0.000, 2.5, 3000.0,   2.0,  2998.0,  0.0,  0.0,  0.0
